env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
CartPole-v1,anneal_k,anneal_k,2,ok,100000,261.40000000000003,316.1,247.49499999999998,800,57.578224897384644,1736.7676787226253
CartPole-v1,anneal_k,anneal_k,3,ok,100000,325.09999999999997,345.0,304.37499999999994,774,58.61608290672302,1706.0164214509532
CartPole-v1,anneal_k,anneal_k,4,ok,100000,265.1333333333333,353.1,262.115,794,58.12452697753906,1720.4441085368796
CartPole-v1,boltzmann,boltzmann,0,ok,100000,500.0,500.0,287.40500000000003,625,58.34870886802673,1713.8339809057347
CartPole-v1,boltzmann,boltzmann,1,ok,100000,286.3666666666667,500.0,147.61499999999998,1206,56.16031217575073,1780.6168827383879
CartPole-v1,boltzmann,boltzmann,2,ok,100000,135.63333333333333,138.0,112.60499999999999,1494,54.494678020477295,1835.041578967093
CartPole-v1,boltzmann,boltzmann,3,ok,100000,205.33333333333334,212.7,142.92999999999998,1221,54.36858797073364,1839.297354086693
CartPole-v1,boltzmann,boltzmann,4,ok,100000,116.63333333333333,117.8,106.05,1410,53.80962896347046,1858.4034479755774
CartPole-v1,eps_boltzmann,eps_boltzmann,0,ok,100000,289.73333333333335,356.7,281.845,911,56.95149278640747,1755.8802255639355
CartPole-v1,eps_boltzmann,eps_boltzmann,1,ok,100000,302.56666666666666,465.7,323.85,925,57.62220525741577,1735.442084406
CartPole-v1,eps_boltzmann,eps_boltzmann,2,ok,100000,261.3333333333333,347.3,251.06,928,56.63950991630554,1765.5519997924932
CartPole-v1,eps_boltzmann,eps_boltzmann,3,ok,100000,285.3,310.7,266.08500000000004,929,56.96882605552673,1755.3459834775492
CartPole-v1,eps_boltzmann,eps_boltzmann,4,ok,100000,287.43333333333334,308.8,276.25000000000006,952,57.63486433029175,1735.0609073515589
CartPole-v1,eps_greedy,eps_greedy,0,ok,100000,379.8666666666666,442.3,340.26,689,59.026623010635376,1694.1507899237615
CartPole-v1,eps_greedy,eps_greedy,1,ok,100000,323.29999999999995,376.1,304.36499999999995,785,58.561497926712036,1707.6065937580186
CartPole-v1,eps_greedy,eps_greedy,2,ok,100000,256.3,444.7,239.3,825,56.47910809516907,1770.5662035508221
CartPole-v1,eps_greedy,eps_greedy,3,ok,100000,341.2,359.3,288.3,783,58.10710024833679,1720.9600818595713
CartPole-v1,eps_greedy,eps_greedy,4,ok,100000,294.93333333333334,349.8,295.04499999999996,769,58.82555437088013,1699.9414806960508
CartPole-v1,mixture_anneal,mixture_anneal,0,ok,100000,378.2666666666667,384.8,340.84000000000003,648,62.213833808898926,1607.359551368722
CartPole-v1,mixture_anneal,mixture_anneal,1,ok,100000,258.76666666666665,310.3,247.715,816,60.58993220329285,1650.4392126480273
CartPole-v1,mixture_anneal,mixture_anneal,2,ok,100000,283.2,430.0,269.16999999999996,762,61.469966888427734,1626.8107022329614
CartPole-v1,mixture_anneal,mixture_anneal,3,ok,100000,324.20000000000005,333.1,288.08000000000004,745,61.603610038757324,1623.2814917354024
CartPole-v1,mixture_anneal,mixture_anneal,4,ok,100000,319.9666666666667,353.4,270.91,764,61.46784520149231,1626.8668548929743
CartPole-v1,topk3_boltzmann,topk_boltzmann,0,ok,100000,340.1,380.4,307.565,725,57.16934609413147,1749.189151741324
CartPole-v1,topk3_boltzmann,topk_boltzmann,1,ok,100000,246.73333333333335,361.2,245.99499999999998,853,56.036795139312744,1784.5417417500519
CartPole-v1,topk3_boltzmann,topk_boltzmann,2,ok,100000,235.5666666666667,440.3,232.185,829,55.944814920425415,1787.4757498480894
CartPole-v1,topk3_boltzmann,topk_boltzmann,3,ok,100000,301.8666666666667,319.0,274.185,797,57.9110472202301,1726.7862489122272
CartPole-v1,topk3_boltzmann,topk_boltzmann,4,ok,100000,269.56666666666666,342.8,258.665,815,56.09237098693848,1782.7736328579467
