env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
Acrobot-v1,scaling_none,eps_boltzmann,0,ok,100000,-316.26666666666665,-92.4,-390.74,374,59.42340016365051,1682.8387423910879
Acrobot-v1,scaling_none,eps_boltzmann,1,ok,100000,-106.89999999999999,-82.0,-289.27,385,59.21308398246765,1688.8159385450842
Acrobot-v1,scaling_none,eps_boltzmann,2,ok,100000,-500.0,-90.5,-346.99,334,59.825135231018066,1671.5382190753849
Acrobot-v1,scaling_per_state,eps_boltzmann,0,ok,100000,-75.5,-72.6,-272.57,671,59.597469091415405,1677.9236018665815
Acrobot-v1,scaling_per_state,eps_boltzmann,1,ok,100000,-140.9,-78.8,-274.43,713,59.62661576271057,1677.1033995616808
Acrobot-v1,scaling_per_state,eps_boltzmann,2,ok,100000,-237.9333333333333,-90.3,-366.43999999999994,576,50.24728775024414,1990.1571702149063
Acrobot-v1,scaling_running,eps_boltzmann,0,ok,100000,-86.09999999999998,-77.6,-313.13,675,60.20559906959534,1660.9750844668763
Acrobot-v1,scaling_running,eps_boltzmann,1,ok,100000,-207.1,-80.3,-316.31,667,59.736295223236084,1674.024136018101
Acrobot-v1,scaling_running,eps_boltzmann,2,ok,100000,-170.4,-98.0,-353.51000000000005,537,60.39973020553589,1655.6365344631056
